"Counties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orange","-999","12754","8330","72","-999","39249","313","14902","68012","36007","10165","19933","39524","37655","46684","25881","-999","264","11750","-999","184780","67244","2643","316165","-999","123907","0","5229","-999","50567","39552","-999","47795","14380","18817","20998","44116","25099","0","17","171","0","308","1503","-999","0","0","0","8700","686","0","18910","22122","738","0","13","0","0","0","0","102","581","665","12014","9057","1211","0","21849","40854","76270","4470","67566","116848","223065","65856","199247","173891","201932","50934","86507","90635","83159","441","19261","69452","12012","25","0","33","0","0","707","7125","27361","189","9100","107630","95417","0","103485","477091","452337","11830","22573","209502","466597","691028","569118","182571","255687","216605","618100","476881","410765","4298","116160","542957","510569","173528","472356","229492","278765","15840","507","6724","2627","1826","0","77","153","0","2100","20059","33941","6386","2513","16588","135860","4470","179","385","1516","848","357","4897","7842","1968","818","2013","1145","152","5652"
"Los Angeles","-999","463008","-999","186391","864895","-999","5616","162998","341746","172396","822409","1704874","455803","1219251","526925","311157","-999","91548","538410","1344730","-999","613443","53426","659666","222091","178964","335175","97445","93221","322473","299893","176497","213981","107381","332637","257733","226702","515202","-999","19832","121812","574752","149936","62012","183374","-999","81937","39467","143260","266129","5111","85868","143200","686316","32292","6619","956","11038","14887","149383","319387","417492","242126","295552","146551","201702","102379","303239","327442","611909","54154","455163","900176","1508102","266538","487971","299229","1049146","733440","301787","474039","771750","96557","42101","151951","633520","183845","161841","59415","148217","61783","223121","147751","973255","78349","492799","586887","975156","118198","555639","1214110","1350632","390236","251709","559921","1242001","986242","590101","319317","932529","288879","419562","175959","-999","123526","221446","885256","1058571","216466","400801","302630","439661","98223","49042","383019","549843","122116","2098","66447","298715","110133","156000","324940","487189","248272","116215","335087","1498340","172776","20819","57012","160262","195115","52919","284430","658887","249602","140216","173399","545419","113922","170338"
"Ventura","-999","159622","-999","144383","256177","-999","32959","138721","160097","88074","128002","163781","111269","324801","280193","85494","0","36810","96091","159270","284542","160435","18342","160941","168753","302218","214826","111653","-999","218672","134093","98800","87718","43073","144748","121837","48694","211036","26341","2863","19151","196868","64185","27734","6025","1258","1451","3349","4070","15414","7472","14380","50718","133079","14489","573","201","665","2543","2361","28134","74946","95363","91543","28101","137385","52371","128149","107435","142775","22972","40340","84484","240238","110338","95537","44632","187700","209278","137102","134965","263439","72470","23757","34206","154546","93828","33821","2815","3706","3158","16333","20093","113181","30848","56257","52078","179688","18785","38747","186595","297172","168657","17679","21613","89347","73384","39852","36978","42052","58967","67608","19158","69642","60975","28423","111394","149448","84727","113676","83411","207847","45399","2098","12472","56738","46751","251","8147","58492","56578","46287","75879","211468","45424","37200","91964","323018","58085","997","12895","52538","15948","604","8822","40643","63789","28610","61373","100681","5076","12055"
"Santa Barbara","-999","476069","-999","461923","1027107","3539673","616464","379751","461162","363005","1115913","287015","407193","1016112","1585461","477431","13714","265338","1711523","1396841","2066768","1734738","986987","1044376","1332231","5754364","1570883","-999","-999","4715336","2495592","2065689","-999","2023104","842479","474188","292525","2085832","910539","191675","58953","5041493","3182381","1281823","587522","438533","430189","53592","24174","458480","367624","323286","887213","2815124","698282","37910","48038","117004","131118","33282","709922","2060527","681246","159261","54267","424891","632189","805269","731378","1557901","915538","415397","924564","3959478","3239682","2429961","509889","2075989","3688321","2596924","2004326","2858242","2816989","1413724","614376","2653651","3841400","1925324","741121","1485911","1352648","1102769","1547643","4732868","1566308","1327826","87660","709717","849954","1365085","2669837","2832700","663563","603844","735063","2199220","3848866","599592","179380","747945","849166","901096","919839","1401115","770476","465279","1496413","2929831","2758180","2876303","838728","1444989","1303999","288687","208602","3580641","2200370","24385","556090","1445925","773254","1034495","407126","1574709","669884","325807","1112902","5047521","2311771","54999","246200","2272501","1681685","106488","209534","2519724","3497569","1066609","1481243","3243202","1978313","686734"
"San Luis Obispo","-999","1139814","1372723","284720","64715","8520408","8639597","1230533","14401","1040094","5113527","2403525","179619","3888660","9182067","-999","50424","522272","5404398","1195394","540990","4704017","4677594","263361","45241","10065598","13824344","4388041","-999","9736753","-999","-999","-999","4314484","7970656","160924","36878","383604","-999","459782","136377","2599713","5305809","95707","6813","143768","1359111","639967","25973","429884","1574323","-999","42994","1305516","4224656","80904","900","59603","570246","137950","20668","1825193","4998513","1114326","21492","187896","2131238","894259","45449","2395950","5575772","323181","161530","4097332","7719627","1550444","12503","304856","2673839","1152536","235123","2070345","4749423","248815","11366","426410","3783164","1979398","16451","624903","3022129","179548","9162","1225785","4773537","1572275","46902","1115866","6485638","1191468","1066682","4404671","6006308","1176829","124738","1196817","6216566","1685553","179019","621640","1942676","283721","121703","568644","2764271","541702","128992","4635704","6675310","1062020","40861","1428614","4551433","242165","49721","3678632","7750044","276276","22834","2427041","7729922","1207390","7406","221471","3109294","1133155","137456","5114145","8594306","326626","20360","304188","2434178","1460339","539354","3169434","3981820","206763","18280","621960","4818765","1188066"
"Monterey","-999","1270714","6183365","3964317","-999","-999","15017763","6798952","112601","1957276","9851231","4915338","442293","1406863","11900894","-999","291065","3294609","11055653","4473125","1955187","7320245","12319821","2227556","8816","4089278","16140588","10415602","-999","3808910","-999","638500","-999","3424991","13438452","4416763","205503","2274050","8738293","3507648","46744","1920150","9278642","4333453","232555","1520497","8006710","4271154","78665","2000144","-999","4474726","250473","4680640","9364923","1059743","3309","172349","1219340","1201893","253970","2161830","9620505","3168920","2092","338653","9327476","5708125","527025","4120540","11935251","3558301","5392","2133383","8645079","3314617","2755","279693","6105748","3732588","741223","3660850","12298679","4132531","123132","2245954","11925984","8341856","171682","1959938","6874125","983369","22551","1378011","9999176","5863439","8004","1659546","13772879","5532781","848288","4297655","14386640","2258540","21233","293879","6245384","2840294","301636","575852","3672147","1073939","40131","905649","7276327","2595032","129732","4661924","11542731","3512982","92474","768471","3904064","821400","32992","1538137","5725574","1242095","41425","1364732","6874890","3240246","167261","230620","4222652","2673847","266635","3300228","9280506","2328365","2184","210666","2544461","1594101","79681","1145324","4349694","1548731","9098","1015998","5384984","2474447"
"Santa Cruz","-999","282715","234544","13589","-999","-999","-999","182879","1800","168565","373648","56160","16882","206438","651740","-999","264393","470441","564389","24278","62915","833783","640547","46873","469","1090108","476667","158646","-999","199431","1079444","41001","2548","749338","837972","4892","21538","982457","1245602","34005","5041","-999","1513545","93966","216","-999","267235","2964","2362","307527","-999","15576","1887","349994","262857","48171","1437","33631","-999","12603","9034","676323","679333","3876","2961","113994","259981","12367","71997","736854","435967","261999","73227","896952","614549","118717","618","139877","347100","63843","76780","460946","313211","33720","27940","183035","172117","12538","2459","227564","405355","3530","40009","396704","590203","64681","4850","336289","517710","57186","118243","780237","845083","71239","142566","681418","565543","129396","54435","626232","754746","2005","140547","389247","665077","84672","72921","533634","441960","23973","10324","413444","516767","39630","65485","919632","770840","98240","147271","1008454","579931","77218","8903","279219","912051","106486","62491","901683","958180","161808","53673","450183","420654","73883","64316","493482","482281","101631","104892","976117","488092","22581"
"San Mateo","-999","0","122","0","-999","2077","-999","207","0","0","180","0","753","0","3909","252","0","0","1023","262","1276","7704","9231","1278","0","8640","13335","3892","-999","1467","-999","0","900","17258","9252","345","360","8964","13129","472","0","3636","13353","240","0","9936","12285","306","846","4423","-999","1863","0","7951","7389","567","0","1010","6204","0","0","-999","14892","663","0","1797","7630","54","0","10118","11614","216","27","16588","15463","631","0","4737","9229","111","1520","16406","16005","101","173","6515","10292","1110","0","6892","10432","0","0","4306","27667","4240","0","974","14846","3046","709","22459","36652","284","0","2482","19153","755","0","6695","19777","1152","3699","37270","36456","792","0","26659","39719","3353","955","58170","45747","1363","2295","52822","60858","6684","6513","48672","73665","12029","0","8169","51298","5754","764","48585","80367","17878","0","27712","84146","109651","54519","50648","46294","3333","3501","48571","73523","11841"
"Marin","-999","7967","6488","127","-999","270","-999","0","320","312","10952","144","0","0","7602","-999","432","1794","19247","0","25106","2227","2342","122","0","6865","675","1305","-999","-999","-999","0","1107","7356","-999","207","86","10016","0","478","0","-999","22733","225","-999","24480","11790","194","225","10237","65763","324","434","338","7402","0","621","466","7763","474","-999","14077","33973","0","0","441","4536","0","68","17767","6734","1323","0","10891","9793","368","0","3033","10468","158","0","14477","3577","476","426","12110","855","207","374","4959","519","0","47","8003","15445","3573","2972","8882","25633","238","899","7175","2808","32","-999","726","2869","501","156","665","905","0","486","3468","-999","50","0","2901","2198","135","639","3540","1757","450","367","4753","691","0","4034","3656","7730","2994","234","1908","14177","1263","93","3839","6318","1511","2928","1536","10357","4341","485","4270","1905","160","2119","15335","4816","0"
"Sonoma","-999","600","-999","5560","-999","3617","-999","335474","149","9245","732549","276885","16284","402","89207","70353","-999","919","346631","-999","23733","32249","96895","602189","-999","8999","662373","414432","-999","6456","158270","-999","684","6481","59807","64734","360","-999","-999","640678","63490","14584","594703","1023447","-999","774","34627","111708","73832","14250","255658","457659","20586","61135","482137","48020","0","302","24572","205506","1805","999","742548","778373","29565","11245","227797","218983","347","4419","833453","809140","3908","7047","654045","364926","0","1035","49847","30011","482","1453","99631","41021","2385","1348","24109","10139","668","410","5959","17158","1246","15811","348844","187284","27","42712","1478346","1112027","342123","44736","466705","275209","144","3733","262199","122204","15014","59733","97789","71610","0","2684","1097020","1089864","65613","103813","438655","188860","11020","522","66452","1629","634","205","4565","793","900","310","4742","4887","525","216","11183","2123","202","658","4435","14595","629","211","474","1718","0","488","3044","4351","351","4324","84405","16072"
"Mendocino","-999","14068","-999","86483","-999","82041","-999","1490949","2522","24059","1450177","335221","52863","13486","300908","-999","-999","81392","2278776","-999","-999","179687","711268","1106211","279","143226","2091274","1204930","-999","87332","439011","358687","-999","30472","383685","491035","42040","-999","-999","1556571","115278","70758","402812","597964","-999","4517","68948","64899","18519","57835","-999","578498","43512","162026","866532","17516","2029","11156","67955","177479","6233","16954","2933433","393646","6593","34677","759047","255525","776","20062","1649704","1150201","1930","39662","1171879","880273","863","7099","203376","173086","41160","27410","313198","206912","46213","41443","178322","153671","3847","12865","112809","461018","6096","19231","704932","388226","3245","89258","2329704","1624249","369765","281271","1342010","631245","15115","13880","539025","186525","60466","21176","995048","290960","2672","32653","-999","2893943","186868","300184","2670601","285508","15187","7412","256760","15130","4271","5842","55340","14738","28896","2490","128651","55366","5249","6856","65817","24055","6969","18869","40359","66043","9040","9559","8417","5425","3493","14874","35199","40510","3910","28451","304082","60019"
"Del Norte","-999","11101","23173","0","2212","1118","12592","483","-999","2640","2495","0","-999","-999","21315","-999","-999","23348","2588","-999","-999","44260","3703","1654","-999","50260","5013","1845","-999","35975","0","-999","-999","82755","960","2114","828","10341","99","464","266","365","6365","918","234","1377","5045","-999","1638","7080","34634","495","-999","87","13373","719","4212","1325","4571","0","1798","5224","16271","1163","-999","14747","2327","882","0","5609","14968","1079","746","0","5169","392","904","17469","13688","0","1161","6149","2905","177","5979","5528","5360","1656","1791","7265","6000","1746","1185","3157","4102","-999","8894","3579","4992","1433","1125","1999","10429","1445","0","10316","3948","0","900","9720","10259","372","843","644","-999","-999","3021","22588","534","1793","900","7163","1124","1368","124","2192","4025","2796","2753","3392","8178","4830","-999","9451","6094","1950","9024","9388","10537","871","2724","10050","129","1698","995","7213","2023","1432","907","19257","2457","1654"
"Ventura","-999","129091","-999","5936","42844","-999","22796","22841","61547","42582","74401","22928","54982","177914","40767","14538","6755","71769","24938","27931","88422","19674","88","13114","30661","122767","2323","97","-999","45418","10337","6896","9295","67684","29506","3044","9173","24048","472","1732","14497","251241","41167","41818","4317","872","5333","8259","40480","69742","1034","3265","17468","24319","2541","76","996","2277","0","3539","13108","16997","3077","3789","5008","4081","945","2630","4735","3623","1365","2637","16738","39438","1596","1670","3403","25136","16555","5031","21077","13711","1889","15013","11275","68346","20363","15105","20374","55216","1060","5898","21580","17513","3006","8713","2895","42260","10455","6993","18244","25418","2270","1912","3238","30031","29865","12265","6588","7638","6719","6249","14442","18540","3063","2945","17797","18332","2367","10459","11636","13407","577","381","2284","519","326","227","2078","10953","1131","2346","8494","25418","10316","3391","46163","177218","28631","1277","1595","4824","16514","12094","24405","22545","19844","8561","19931","52636","11154","10663"
"San Francisco","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
