"Beds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1,0,543,0,0,-999,2997,1395,0,34026,2151,46363,37962,2548,57209,80520,-999,-999,0,0,-999,8154,605,3191,13787,-999,10818,24539,17082,-999,6441,1008,-999,594,804,5328,2399,0,0,0,0,0,0,31,0,793,-999,972,-999,-999,41,0,2736,34,0,0,0,0,0,0,0,0,0,0,385,61,0,0,0,0,0,3052,0,0,0,54,0,225,0,0,3285,1483,14662,33877,58139,40763,44689,27283,38133,0,0,0,36267,30463,25606,7364,179931,201158,22187,54991,47991,182323,55701,147797,40543,0,0,0,21,89,0,0,2377,2623,0,0,0,72,240,8630,15790,3090,1104,1057,10811,14278,9582,179338,612,222,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,3875,0,0,0,0,0,0
2,34398,29956,-999,-999,-999,1206,1350,491,13745,27221,204675,59355,3140,100655,180170,-999,-999,0,23307,-999,6453,2266,16751,13920,-999,99783,49511,-999,-999,4236,-999,-999,0,3933,162,50,168,285,0,4715,116,369366,191951,38390,15297,3009,0,-999,-999,18183,1174,20801,8665,0,0,852,0,0,7353,27,8676,-999,45225,94846,5951,1699,1929,40262,13574,50755,36512,74806,41076,79370,86125,47163,414,6657,7307,4314,0,1559,1591,26925,18389,10014,986,14630,39272,53012,759,45022,77922,133808,14472,188132,84086,179669,332495,397529,96164,197359,379246,104258,1293,0,16437,1734,0,35700,52498,109851,3715,48807,16641,10001,11952,50656,132678,50885,3743,53242,72189,50602,5521,173446,630908,986,63,237,22,626,0,0,1486,49,0,6334,22998,1645,9227,40151,95064,5930,11982,47759,55686,58549,9749,2472,224,3749
3,71064,64299,-999,-999,-999,59175,71417,158141,208137,131000,667024,297561,54635,445464,1252460,-999,-999,0,44027,-999,58086,13106,265599,1861482,-999,1782573,892162,-999,327978,258030,-999,-999,5949,527,17388,58931,43098,29859,1437,35853,4660,1659259,1080616,159252,316504,706514,0,-999,-999,197285,117550,274437,153045,50989,-999,17796,171,0,0,796,30848,-999,30877,748106,197092,2660,63431,765415,648256,1411776,666434,735040,1321431,1371138,1666226,1080315,140138,550349,732802,473733,42419,133624,99547,147382,185968,275566,229400,187246,113375,227680,13288,69740,68767,376326,158294,499409,543985,817795,1090385,1236152,813458,692613,1150812,596335,160550,418127,919996,80452,1397,113778,194429,674068,244476,133746,17079,234656,780173,988391,1775202,1120553,156462,757015,658988,129121,30531,118713,794353,1320,21,0,0,6671,48921,5988,275,77652,85436,470843,324202,37814,137144,439734,540510,23688,70389,272229,212551,185224,133679,119796,34456,122994
4,3663,44812,-999,-999,-999,73143,78025,427434,11367,6919,49660,263289,30552,164205,1130289,-999,0,0,12113,-999,296640,69901,288329,2230269,-999,516919,1285247,-999,-999,142616,146538,-999,945,3240,106497,106803,23449,159,-999,28981,1111,383881,415362,128692,141815,44199,173268,-999,-999,39832,35447,230141,68304,16372,2572,4512,749,0,0,528,13758,-999,98118,349593,78049,225,0,414527,451216,328709,354236,383703,717821,471730,1028675,922269,68021,190066,98116,460489,79204,172939,49291,203405,177352,81298,50498,51049,52517,4713,28,2205,4910,84511,47790,384225,758395,339048,377397,1099306,1113355,430546,335539,435205,486882,417339,1062217,395281,33548,17564,40115,370153,239859,3237,110,15629,275258,137995,567452,1113203,724987,388830,224887,106261,41507,113806,618191,1420,0,70,596,3131,13371,679,1104,36486,60556,122465,80470,128252,113315,274218,284447,42776,126327,50822,13285,98008,138682,15222,2808,164948
5,0,0,0,0,-999,0,0,0,1401,0,0,19221,2995,303,9256,-999,0,0,0,-999,20439,4176,215,24402,-999,27652,7602,26325,-999,4861,6144,-999,1287,0,0,0,0,43,0,0,0,360,0,0,360,0,0,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,0,21,0,0,0,371,192,0,0,104,943,0,3562,2513,866,0,507,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523,4535,237,0,533,6894,6673,4284,852,4898,4204,9413,8481,398,0,0,0,0,0,0,0,294,713,1380,2971,3048,1806,292,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0
6,1485,137,-999,72,-999,27009,31817,52124,214130,22613,44307,221496,18240,101178,430392,-999,0,0,875,-999,530208,159788,182741,761537,-999,468348,28230,91304,-999,20369,31235,-999,10017,7283,31743,10814,8339,9077,0,4338,139,104492,45031,1645,13950,11348,31923,-999,-999,2138,0,35380,46311,10855,0,0,284,0,0,0,0,-999,0,39323,35425,19648,19641,135110,168277,171356,91837,63199,164149,299693,99577,229077,125679,70071,6553,32023,12422,7306,56,10517,27865,41055,0,0,0,0,0,1023,8600,58140,5411,149541,248709,94128,20277,321740,732827,442587,85461,53512,152128,162970,319594,163476,23977,114582,65206,205223,78002,45643,3170,101891,423082,406720,305727,552104,601987,324942,45094,22349,17549,74705,151457,57,0,0,50,0,5940,1454,0,409,902,4261,498,0,0,48,12,0,0,75,252,23,75,0,0,56
7,0,36,0,0,-999,0,0,0,657,2019,25371,25527,7645,1488,8451,-999,-999,369,7106,-999,80631,44624,2491,96572,-999,92447,102,2202,-999,45485,153,-999,0,0,0,114,725,1668,0,48,0,23742,3119,144,-999,-999,162,-999,0,6269,5216,54367,25619,2268,0,0,0,0,0,0,0,-999,0,6767,11320,2816,324,7314,68556,151543,40966,32523,212885,183074,118190,242796,116716,62161,20817,62024,33979,27453,43,2821,8558,6570,0,0,2627,747,0,0,1039,10073,124,25882,134955,51429,0,63749,334477,323860,22530,2133,13687,53736,146781,226570,75177,4965,667,2037,178,0,0,2117,90491,187401,50100,187380,163796,103505,25931,35,0,0,1373,0,0,0,0,0,13776,23442,1306,2091,5017,18845,2153,0,0,0,0,0,0,343,56,176,11975,1299,0,58
8,-999,232,0,0,-999,10476,0,0,9748,903,1989,2946,17690,19320,17518,-999,-999,264,7881,-999,99251,64223,600,32481,-999,30584,0,0,-999,12612,297,-999,4590,1494,675,5109,22670,19315,0,0,0,0,0,1350,-999,0,0,-999,3271,387,0,15701,19593,601,0,0,0,0,0,0,0,0,0,1153,966,20,0,545,1399,21609,382,4802,32190,90433,29799,76847,103294,124023,43334,67164,68942,58017,29,13932,57901,9173,0,0,0,0,0,586,6416,26259,189,1420,25167,28998,0,38822,191716,228703,9049,4936,60419,256051,546783,344989,98080,70388,109706,433435,385554,269315,1084,81155,346323,306940,99865,260313,117078,171622,13653,426,4152,210,145,0,77,45,0,0,2100,2569,9,207,7218,55030,2816,50,258,29,0,0,0,1236,69,0,77,0,0,16
