"Counties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orange","-999","91591","60946","605","-999","287348","2376","110285","499067","266089","78792","152141","306564","288090","357051","198529","-999","2174","89496","-999","1407507","515013","20523","2328186","-999","912685","0","43830","-999","396139","292549","-999","348226","107410","141381","154817","323272","187163","0","144","1322","0","2648","16846","-999","0","0","0","65312","6105","0","152374","166972","5686","0","123","0","0","0","0","756","4465","5131","93590","70787","9800","0","163425","301045","575277","34894","510760","871515","1621380","497301","1482840","1282768","1496298","374902","648334","681455","615151","3477","149185","526195","93255","195","0","247","0","0","6681","54275","200669","1499","70931","819907","720951","0","801842","3493374","3285905","93400","178691","1554968","3435113","5090274","4287337","1424457","1945677","1620285","4532163","3492293","3106260","34194","905199","4058545","3719153","1305869","3516480","1722998","2080275","123292","4131","53715","19695","14188","0","660","1251","0","16170","154924","249961","46813","19365","129175","997606","33328","1408","3245","11704","6528","2783","35983","57349","14362","6672","16033","8736","1131","43092"
"Los Angeles","-999","3397159","-999","1390608","6304329","-999","44230","1246982","2650805","1272664","5929886","12541559","3358115","8814137","3861251","2327021","-999","680521","3870112","9582118","-999","4481504","399576","4867281","1671777","1351686","2492844","753082","692840","2347709","2155698","1328669","1585362","794439","2481020","1942716","1642573","3821124","-999","152307","928655","4159087","1117694","486176","1380302","-999","621221","299053","1070196","1944871","38853","671231","1080908","4998502","244366","54130","9026","117697","118361","1062799","2307735","3050202","1797291","2223432","1123075","1509633","765568","2294279","2455924","4521357","425624","3433413","6746610","10980771","1960028","3661540","2299124","7753959","5327212","2263815","3523555","5587987","722748","333429","1155729","4666222","1359374","1205090","447641","1116633","459681","1655825","1199388","7046056","598938","3751121","4369398","7123913","877293","4252238","9051782","9914700","2958958","1963468","4226792","9165373","7338605","4589279","2600273","6881235","2179420","3197103","1313141","-999","947820","1703682","6695355","7770078","1658672","3076781","2283203","3235023","741708","373858","2887674","4026213","917332","16552","510511","2219489","812016","1180895","2481804","3626532","1816979","892981","2514261","10987080","1270364","162445","438151","1182577","1430226","404942","2200023","4803137","1851725","1070829","1309712","3981998","827428","1313751"
"Ventura","-999","1196896","-999","1045019","1824728","-999","239397","1023012","1194862","643015","924002","1192722","826734","2315931","1997652","625872","0","279037","690922","1167463","2061058","1163383","137246","1187286","1237042","2178350","1554949","825259","-999","1576205","982203","742105","640085","313182","1058498","898073","355129","1571357","203417","23009","145596","1427933","478099","213231","44533","9639","12160","24737","30927","114864","54481","113547","371159","974102","106263","4481","1463","4931","18557","17837","201999","535716","696447","680806","216685","1002317","385841","946784","785247","1032873","173078","298419","629467","1732513","805326","708483","338955","1365683","1518461","993638","985486","1898756","541020","184798","255092","1155535","682919","250503","21885","28455","23949","120092","151385","814892","229623","430075","390040","1293479","138188","299760","1373569","2148256","1231224","141911","163720","655983","544416","312080","282592","312661","438608","507669","144468","508204","448156","216491","832588","1091507","624299","843124","614446","1513666","335622","16470","94693","430851","345826","1982","61132","441267","410909","345789","563503","1537797","332641","282477","674306","2365807","418799","8060","94811","386816","117962","4635","63855","298028","458663","214429","446955","728917","37663","90425"
"Santa Barbara","-999","3460011","-999","3512800","7680231","27133380","4550617","3601325","3581877","2746978","8560652","2149878","3090578","7427351","11836433","3522965","102767","1970739","12846092","10465794","15432749","12836814","7304395","7902347","9895673","41570365","11999123","-999","-999","34514363","18285562","15902477","-999","14891911","6085760","3639576","2291226","15544520","6657495","1478888","458706","37139827","24540229","9388099","4213575","3324168","3239626","403834","190800","3416363","2798708","2613321","6733106","20742444","5065721","325510","390446","873532","987164","255900","5296282","15219615","5085821","1201595","423722","3164014","4735811","5973286","5342619","11329425","6691407","3166989","6887838","28911542","24732289","17778202","3859331","15232282","27362231","19160603","15012903","20842156","21311864","10645025","4579979","19646713","29349852","14398796","5528646","10804499","10019319","8302233","11457202","34228136","11818525","9903058","669474","5242458","6227851","10138785","19750098","20605812","4971889","4709926","5491781","16065159","29033796","4696854","1450901","5608772","6274760","6814541","6963484","10340412","5888555","3584180","11303708","21389140","21079843","21149725","6199004","10833037","9823007","2264017","1607355","27420915","17915323","189731","4155683","10573775","5683160","7717862","3059570","11618832","5036243","2566203","8263574","37165624","18734823","431977","1857120","17322680","12947133","813470","1592989","18671775","27439738","7919950","10733496","23610640","14776471","5094002"
"San Luis Obispo","-999","8635096","10278343","2124608","476644","68404791","66285927","9019642","173311","7644829","37085699","17594248","1363698","28604891","67688676","-999","381481","3853083","39497589","8973288","4119164","34002320","34476607","2016197","344674","80577322","108842043","32028391","-999","75329328","-999","-999","-999","31430432","57676778","1198459","266090","2837241","-999","3424468","1051190","20037432","40414277","737765","56977","1089138","10113972","4751905","190623","3184853","11559829","-999","331989","9610699","32031825","602322","8292","470024","4265275","1066978","154241","13393171","37087450","8197765","159909","1386157","15710708","6810658","341234","17592810","40849126","2390668","1228475","30267440","56864236","11187292","96780","2263961","19714108","8577201","1800644","15444680","35858226","1884832","106974","3274194","27901781","14690543","121868","4554697","22246954","1386051","69081","9041081","35302845","11775890","343154","8166054","48496669","8928744","8019918","33736112","44555926","9072843","921547","8829817","46292419","12538610","1361549","4534209","14245825","2202751","902817","4102123","20163673","4059771","956939","35557291","51358714","7840298","307975","10404863","33874052","1821274","379020","27563617","59133885","2051829","175245","17854474","58215104","9025736","55702","1621720","22880830","8603579","1065590","38906568","64064515","2463296","150816","2247049","18196680","11009388","4124465","23727123","28894694","1596519","142890","4520332","35953485","8937907"
"Monterey","-999","10100153","49852079","29914154","-999","-999","139350267","50153105","861375","14581161","80763479","35942873","3404484","10379158","94362341","-999","2310089","25632883","93631936","33124959","14615457","56565319","99764213","16716033","78969","31537164","133033274","78673999","-999","29299183","-999","4671663","-999","25796405","106813649","32531674","1609301","17152586","67764523","26302430","497258","14715042","77499426","32645984","2395739","11611805","66691126","33441669","619367","15163393","-999","34097119","1933190","35873639","75162255","7956233","26220","1351529","9109399","9084619","1888904","17113517","80072905","23425903","16618","2525132","73698672","42390734","4009829","31178323","96320266","26606247","44509","16074953","68025773","25046772","23571","2084430","46828190","28184836","5549407","28936633","100549652","31104612","970991","17076561","97919677","63844152","1382383","14583096","54400495","7359335","214747","10403394","80676503","44526545","65170","12372053","114219500","40822863","6657831","32652354","111334860","16904135","174127","2228617","48632419","21372401","2378094","4373203","27671822","8120143","325367","6940562","58120696","19300661","1025053","37933667","101205921","25985870","711941","5907454","30748522","6122461","265768","11792412","46017143","9279133","317322","11146993","55630053","24518120","1226406","1734476","32284035","19766838","2034477","26065744","75364341","17256964","16936","1577078","19655421","12100462","618619","8618508","32997976","11474776","69981","7781236","44376899","18322272"
"Santa Cruz","-999","2058302","1755190","108872","-999","-999","-999","1377964","14454","1243394","2688496","420040","130422","1514879","4839146","-999","2014271","3396129","4097808","189580","489562","6069245","4705824","368520","3867","7961458","3522741","1232684","-999","1464706","7879475","318398","19809","5431025","6122684","38359","165139","7267234","9174614","268189","42095","-999","11167853","706426","1680","-999","2029742","23499","17559","2256575","-999","120516","14483","2554695","1930608","390371","11188","257512","-999","97252","68804","4918867","4935735","29083","24469","856937","1936655","96232","545938","5403333","3237692","1924771","581488","6561065","4561831","909918","5106","1026263","2555122","501281","602138","3342006","2311967","269768","223128","1355702","1262217","99863","26968","1690903","2981767","28893","313577","2937327","4372792","515099","39948","2478100","3775743","448960","925275","5723375","6172537","575612","1057142","4979082","4218094","1006175","437319","4567224","5537364","16215","1084311","2849582","4970141","678090","561670","3915506","3296794","192304","86136","3022632","3810625","316801","501911","6876469","5790680","773540","1131406","7494521","4258510","597150","66385","2041174","6641618","803733","492069","6621448","7025044","1223165","417221","3291967","3064591","564888","494809","3563959","3518486","777720","790084","7056620","3564025","175765"
"San Mateo","-999","0","1064","0","-999","15031","-999","1621","0","0","1445","0","5717","0","30113","1916","0","0","7616","2109","10204","56727","67095","9855","0","63977","99218","31812","-999","10660","-999","0","8498","123182","72832","2743","2621","64973","99586","3881","0","26443","96177","1927","0","72442","94605","2448","5794","31796","-999","15529","0","57269","53907","4784","0","7392","45195","0","0","-999","109056","4985","0","13916","58166","430","0","73972","87414","1680","244","119127","116996","5075","0","35624","70542","905","12148","119376","121764","820","1413","46747","77109","9094","0","50850","77770","0","0","34109","207556","34850","0","7299","112356","24065","6076","164880","268081","2386","0","19170","146529","6223","0","49626","150852","9663","30546","269547","274420","6657","0","188386","296851","27136","7761","417826","326402","12043","18273","381853","447750","52799","60728","350814","544951","93463","0","59292","384811","44422","6074","356654","581310","135603","0","205158","628658","825064","403638","374282","334027","25572","25455","346815","536978","89532"
"Marin","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999"
"Sonoma","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999"
"Mendocino","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999"
"Del Norte","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999"
"Ventura","-999","941796","-999","46286","323176","-999","174696","199617","464297","312841","545725","177751","417686","1290283","314677","112306","49502","531844","182964","222918","668577","150867","766","103594","233745","909183","19293","834","-999","333680","80171","54071","71973","540015","221175","23813","68997","182359","3930","13012","113402","1842182","309517","317444","33246","6497","41527","61960","305704","511361","7895","25559","132491","181055","19791","607","7151","17002","0","26619","96440","124189","23674","29558","39240","30945","7387","20595","36704","27309","10989","20476","130654","293367","12339","13343","26384","186671","123528","40137","163801","104324","14864","117284","101469","504451","158338","119555","156099","415076","8073","45292","163028","132159","23798","69658","22452","311805","79570","54499","142516","194857","18207","15505","24074","225040","226631","96920","56654","57800","51963","48776","107740","140205","24180","23188","138430","139236","17992","79512","89667","99192","4591","2835","16881","4521","2518","2197","15684","81182","8115","17850","64870","186342","75174","26156","343331","1271225","208620","9825","12161","34589","124839","92204","184564","168745","148647","66515","153921","386841","79942","81116"
"San Francisco","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
