"Counties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orange","-999","20844","7771","585","-999","38952","313","13708","63589","36768","10497","18879","38624","40767","48604","-999","-999","3021","12028","-999","171710","62292","2578","298677","-999","112763","0","5234","-999","48553","38519","-999","46773","13932","18054","20741","44791","30093","0","49","171","0","953","1548","-999","680","0","-999","11218","4025","0","17673","22694","3213","0","459","0","2226","0","0","1909","464","1197","13221","9479","2537","0","22057","41487","80025","4731","67218","119177","219809","65983","196292","170116","203846","39005","81111","86585","77988","412","17834","61340","16461","465","899","2811","2543","0","1390","8342","20814","174","10984","107311","99313","0","100730","476272","450330","9739","22246","204205","437203","669045","566308","172447","229826","192012","600727","459058","393460","4840","114639","526964","536014","179018","481660","226956","282038","14185","1975","10335","7463","2180","317","2411","2989","253","3708","22786","35046","6789","3639","17113","136125","4261","2873","1050","9054","1053","1073","8315","14045","2230","1049"
"Los Angeles","-999","453888","-999","183960","854144","-999","5616","166776","338228","173921","812470","1648464","445907","1208185","514468","300306","-999","106846","533114","1316634","-999","609518","53163","642667","224208","179379","328953","97439","92702","320768","299233","175625","212215","109918","328398","256375","226162","507245","-999","19832","122398","576440","149827","61651","187545","-999","87475","41958","141961","270074","4424","83780","140573","680313","32274","6502","877","13004","14887","148936","320057","423077","242589","295215","146580","204223","105070","302847","324738","610936","63240","446344","892421","1503968","266943","486439","298124","1050050","724839","303088","451209","771258","96422","39335","141257","623956","191156","163918","55810","144714","58006","214643","146883","957392","90151","501217","589548","960536","114618","540312","1197171","1333363","357596","241686","559591","1225929","992234","579293","312658","937088","298020","415245","177648","-999","120256","221126","875325","1101084","219293","416649","312494","446936","102557","50421","389502","558422","131169","2624","76428","311741","123445","156195","341683","507723","257654","122330","342463","1582840","190190","20780","61025","174504","208089","60089","295046","675417","269595","98647"
"Ventura","-999","146702","-999","138747","256278","-999","32639","139442","159486","88124","125021","163047","106210","317840","273896","86669","0","39907","93814","149889","277853","159136","17845","156723","164238","294206","211680","111263","-999","202563","126500","94700","84204","44718","143527","120144","48440","210218","30508","3035","19017","197142","64434","27690","6688","1211","1751","4162","4337","16150","7935","13164","50125","133546","15313","677","739","984","2543","3253","28143","78638","97230","91684","27694","135915","52563","127670","107116","142754","26260","40795","84835","239780","112646","95548","44084","188730","209692","133761","135000","269641","77901","24592","32976","148626","96755","31004","2968","4704","3306","16345","20184","109578","33904","56188","52654","181428","18675","36926","183311","290196","160803","16907","21177","89683","72866","36663","35475","40072","58953","66957","19324","68620","57578","29272","111785","150219","86091","113533","83898","195929","41186","2042","12467","57831","50351","250","8241","57761","59244","51458","90585","223604","49409","38668","97381","355605","62540","1068","13800","52170","17155","673","8833","44778","65355","26719"
"Santa Barbara","-999","566610","-999","462481","1027352","3683475","614322","350167","451095","383398","1125076","285457","408166","1016278","1574507","471839","13841","260298","1700920","1377534","2089269","1726537","990323","1026657","1309556","5680492","1553708","-999","-999","4731641","2441929","2043972","-999","2075419","835326","464451","286473","2128798","902903","187535","57701","5165794","3149530","1262868","580876","449985","445859","55491","24174","524200","377567","320973","885969","2815064","696440","37666","48638","116893","131541","33342","752375","2069514","707302","174671","63190","520032","639514","805062","735681","1617006","917308","415317","923903","4001529","3240425","2420152","509037","2257984","3710227","2491011","2006056","2928338","2794483","1350422","604987","2687420","3859945","1896101","776884","1546426","1333888","1100348","1497664","4770257","1496661","1336258","84868","854240","834164","1353537","2630301","2826457","639385","590817","713619","2267663","3784391","589534","184203","808334","828180","885960","953954","1416391","862534","454246","1500569","2915522","2775870","2826876","814695","1444059","1308929","266815","200189","3596963","2144014","20596","547240","1374138","781510","992207","419650","1622233","685692","320302","1101503","5070418","2203388","58605","258541","2291405","1643291","107598","203103","2559324","3386467","1009252"
"San Luis Obispo","-999","1109458","1371583","265411","21906","8008092","8665992","1218639","23248","1092888","5031000","2404199","142672","4224011","8969263","-999","79110","424691","5179721","1207409","494816","4755276","4263653","277015","102745","9810646","13539539","4415358","-999","9600897","-999","-999","-999","4281452","8050519","148181","68891","201756","-999","440726","205139","2573310","5556523","93619","11894","98281","1469216","639766","59606","549437","1616698","-999","59143","1839403","4575904","81451","0","58300","566838","142808","10949","2050352","5008223","1069841","28785","134031","2099769","890039","35208","2412703","5501181","329204","183260","4146454","7961394","1521204","15257","311079","2579094","1112750","251908","2133952","4695218","239107","12845","459669","3776226","1932602","15029","707873","3030559","173710","10786","1248253","4749569","1565578","54616","1182556","6526392","1103798","1033070","4220207","5874436","1129907","77736","1163834","6029863","1669656","185489","628153","1871109","249604","77379","245823","3020768","549936","183130","4620755","6688749","1069582","48663","1448969","4568953","248410","58671","3866126","7682299","271178","32518","2444719","7677767","1202477","8748","222476","3108052","1117741","127328","5218558","8400012","320641","24930","415339","2362349","1442760","531104","3166811","3911081","204208"
"Monterey","-999","-999","6185843","3956851","-999","-999","15193071","6777337","119707","1934493","9891852","4872825","393918","1557006","10029148","-999","-999","3708417","-999","4484002","1458018","7432078","12284579","2105801","17160","2945340","16051994","10384258","-999","3898461","-999","-999","-999","3312729","13410501","5371251","79924","1808159","8808048","3502146","62170","1925942","-999","4324486","74194","913651","8046865","4918293","-999","1430776","-999","4453462","-999","3995749","9283980","1062805","4439","12847","-999","1194754","245548","2199823","9784178","2794015","7862","278541","9452864","5715434","584755","3391672","11907547","3909111","8599","2159064","8695582","3542955","5305","107922","6128739","3793142","716532","4358186","12263783","4380408","60016","2733276","12014066","8316795","139480","2032375","6696356","1109247","43094","1513917","10162517","6336451","20663","1606297","13934451","5673983","758523","4442825","13867077","2361434","5527","373235","6184570","3223379","247743","694308","3628064","906390","14433","281868","7885865","2647764","57162","4188642","11588975","3672523","100914","710883","3840430","819365","25570","2000976","5844496","1277645","32115","1477480","7116195","3484106","46277","280830","4289872","2748149","241058","3059122","9334063","2573009","4848","235705","2568126","1539171","81655","1324934","4452647","1518421"
"Santa Cruz","-999","-999","233823","14440","-999","-999","-999","182879","-999","138585","371746","56160","1440","-999","86985","-999","-999","527629","-999","25763","26910","830446","613863","17497","469","1316547","471339","157708","-999","-999","1063391","5122","0","-999","822771","0","0","-999","-999","34156","7713","-999","1315247","91329","0","-999","236601","4849","-999","88200","-999","16197","-999","289377","201143","48141","0","5877","-999","13441","-999","776061","-999","3153","3147","-999","264660","12651","-999","561965","431642","334577","-999","722862","620640","139762","1350","-999","295492","63716","33444","525237","208516","26972","38239","149273","189591","13049","2400","12510","251744","2266","45516","417190","536230","-999","95","71118","547616","64511","135534","-999","634221","71209","39899","897429","384980","115086","44397","494861","634203","1883","197750","255319","702525","91280","135","306573","443017","18105","3453","417004","500510","30358","49747","-999","643381","106703","-999","-999","504889","77472","1828","302603","826156","121815","87491","448248","724199","225489","20309","458774","439281","65064","31076","534048","407167","114847"
"San Mateo","-999","-999","2103","384","-999","-999","-999","207","-999","4158","270","0","900","-999","666","747","-999","3319","-999","262","468","13548","12235","2609","0","27387","17133","6385","-999","-999","-999","0","0","-999","9045","1231","-999","-999","13498","1921","0","-999","13285","1344","0","-999","15678","461","-999","2457","-999","1833","-999","-999","3639","1947","-999","0","8289","0","-999","-999","15210","827","0","-999","11440","197","-999","11853","13548","1015","0","3096","19832","1511","0","-999","10530","737","1384","-999","11406","236","323","3009","9289","1423","0","0","6867","0","40","6755","29131","9057","0","-999","14877","3739","2092","21870","27381","1030","0","285","9899","995","0","3625","15742","1151","-999","25839","41569","792","0","0","41131","3429","553","50003","44177","1742","421","-999","52594","7111","1286","47376","49977","7633","0","12183","39448","4227","1428","32345","42422","19798","0","7885","78694","81261","25540","19022","24655","2431"
"Marin","-999","-999","6842","127","-999","-999","-999","0","-999","432","-999","0","-999","-999","-999","-999","-999","3891","-999","0","-999","3849","2914","300","0","7263","450","2061","-999","-999","-999","0","-999","-999","-999","-999","-999","-999","0","959","0","-999","-999","99","-999","-999","11286","194","-999","540","-999","621","-999","-999","383","441","-999","-999","-999","208","-999","-999","-999","0","819","-999","4633","0","882","7848","7150","1863","540","-999","10023","703","675","900","7368","158","-999","279","2202","753","900","0","1001","335","0","-999","375","0","0","9914","7391","-999","-999","-999","12145","648","2676","468","2774","256","-999","0","2702","225","0","576","863","0","-999","0","5899","513","306","-999","2895","74","270","423","1874","225","150","-999","1137","29","390","0","6437","2147","300","0","9777","1861","0","0","2088","145","225","0","10095","4141","715","54","1546","354"
"Sonoma","-999","3176","-999","5022","-999","4716","-999","322553","149","-999","735425","274149","16590","-999","131595","70002","-999","-999","543501","-999","23157","20360","-999","-999","-999","0","653958","407304","-999","7762","187416","-999","-999","-999","105183","63307","405","-999","-999","616307","43804","2458","585454","962639","-999","783","37626","111240","-999","-999","258841","462204","21421","-999","479428","95877","270","-999","42172","198927","0","230","753813","829780","34994","4709","235940","216703","0","0","832824","963058","1520","9630","731945","586912","0","0","65337","28757","1288","126","106758","43811","2717","906","24362","9760","0","-999","6010","12742","60","297","370815","176900","0","1540","1582587","1105384","387118","18119","563884","267284","-999","4730","350151","54411","9715","0","97557","72833","0","-999","1089362","870654","65181","130812","436383","165079","14222","288","66000","1968","624","0","5409","1090","0","0","5207","3743","581","-999","10095","1591","90","0","3410","11535","1559","0","527","1846","0","0","-999","3550"
"Mendocino","-999","23989","-999","85218","-999","126856","-999","1431488","1622","-999","1590478","349752","57183","-999","351033","298386","-999","-999","2882319","-999","-999","74562","-999","925409","279","-999","1978664","1114267","-999","74941","552820","356337","-999","-999","732937","475576","4992","-999","-999","1461898","113271","48540","421184","597656","-999","5724","91499","65205","-999","-999","-999","580943","41571","-999","814711","23890","942","-999","77377","177849","783","19200","2757757","389930","-999","17420","769046","254075","-999","12411","1637112","1481069","38","8613","1324103","1094314","450","-999","300733","156848","15713","23571","384327","193000","34530","5662","171212","112831","297","-999","228243","322991","7081","18975","763633","365072","540","7462","2448639","1832192","362239","153749","1425881","541383","-999","14669","679514","140494","50289","1755","997063","272551","1365","-999","-999","2563724","214708","256229","1930566","233986","12235","9555","256909","19271","2882","-999","52353","12272","6389","4421","140930","43519","7876","1554","72536","23818","5270","1790","44375","48973","11718","4158","8657","7693","3814","6241","56604","41889"
"Del Norte","-999","0","2331","0","-999","866","1638","333","-999","1946","1703","0","-999","-999","6892","-999","-999","2862","1721","-999","-999","-999","1990","559","-999","-999","4311","909","-999","-999","0","-999","-999","-999","492","1239","513","-999","99","450","266","0","4669","0","0","0","3362","-999","0","0","5074","0","-999","0","-999","0","-999","0","1741","0","0","1755","14956","435","-999","0","1209","0","-999","0","5503","1038","0","0","3243","57","360","-999","5739","0","0","432","1148","0","0","900","1954","360","-999","495","2898","812","0","200","537","-999","0","959","4428","750","306","0","4918","1098","0","-999","830","0","0","0","4500","0","-999","0","3096","-999","-999","0","326","580","900","0","557","0","0","0","2437","1543","-999","198","5650","2334","-999","-999","1927","983","1260","5718","8858","285","0","1251","0","1016","0","378","0","1022"
"Ventura","-999","126186","-999","5966","47213","-999","25572","20891","62547","50493","80354","27221","59617","198832","40044","16951","6760","110913","25153","26965","95961","28837","88","14842","32542","134561","2356","735","-999","49201","11422","10701","9483","68138","30409","3416","9843","23885","936","1932","16823","252967","44239","41219","10959","1760","5416","8780","51672","92495","1771","3727","26761","38956","3354","219","2282","10947","0","7297","25034","48811","4755","7148","9435","12988","1230","5730","12298","17454","2057","3789","27594","60115","1735","2507","5882","43167","20388","6864","28015","30497","2217","17034","13352","79231","20447","16384","29300","83612","2583","7348","28176","24313","3250","13702","8881","64944","11367","9562","29524","38360","3478","4433","12066","47837","33446","24759","13589","18482","7104","8131","25043","20389","4137","5460","26083","23275","4457","15300","18575","21291","858","1044","9680","867","451","682","5407","15351","1421","3471","9668","36112","13383","5081","58153","188676","27115","2980","4372","11266","18472","15820","31528","38074","21652","9461"
"San Francisco","-999","-999","0","0","-999","-999","-999","-999","-999","0","-999","0","0","-999","-999","-999","-999","0","-999","0","0","-999","0","0","0","0","-999","0","-999","-999","-999","0","-999","-999","0","0","0","-999","0","0","0","-999","-999","0","-999","-999","0","0","-999","-999","-999","0","-999","0","0","0","-999","-999","-999","0","-999","-999","-999","0","0","-999","0","0","0","132","49","0","0","-999","0","0","0","-999","0","0","0","0","0","0","0","0","-999","0","0","-999","-999","0","0","-999","0","-999","-999","-999","0","0","0","-999","-999","0","-999","0","0","0","0","-999","0","-999","-999","-999","0","-999","0","0","0","0","0","-999","0","0","0","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-999","0"
