"Beds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,-999,0,-999,0,0,13903,0,65843,14900,25677,4976,2394,63390,100026,43839,20708,0,0,6863,173815,831706,296947,0,249345,508599,1248731,-999,-999,-999,700028,224123,268753,-999,347688,0,3697,61871,41660,0,2416,2641,490882,811,88044,89332,57348,0,0,0,8192,482,4379,68050,103396,0,0,1775,0,0,0,1310,3620,0,0,599,7479,0,20499,84937,156152,2924,26663,123913,458588,258904,243390,80400,138336,25604,20878,23390,424,0,0,4672,0,0,0,480,4889,215,0,9357,156024,0,36977,9180,8883,0,1233,211421,331358,24821,9840,102054,204758,234978,145193,63120,28077,18348,26483,44328,276941,79142,39661,307610,668431,340219,467638,310529,236076,0,992,4209,5418,4518,0,0,18407,0,2943,0,0,5344,109734,1221,22479,1306,0,202,1907,629,0,0,0,0,0,10563,14466,785,0
22,-999,0,-999,0,0,0,0,18724,17335,33251,6309,0,2883,0,4521,7832,0,0,0,46433,168206,23503,1431,45373,103108,165913,0,-999,-999,216355,8615,69696,-999,53927,0,4374,23211,16730,0,0,443,79448,0,39016,53401,41968,0,0,0,0,0,5708,13805,9151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,0,0,0,0,0,0,0,0,0,0,0,3439,50362,0,35367,630,0,0,567,98067,159033,13579,1847,1155,1573,0,10589,10587,0,709,1192,5294,7109,5290,361,58803,80333,20625,78256,77251,17226,0,0,890,8613,4879,0,0,0,0,1252,0,0,0,110356,757,31560,5230,0,0,0,0,0,0,0,0,0,555,4115,953,1096
23,-999,9584,-999,6458,7725,72515,1387,20433,3210,0,1269,6122,39080,55237,58506,1571,0,0,7744,59241,150919,110618,6399,73091,62538,209888,24253,-999,-999,22394,0,39143,-999,43404,0,10837,8084,6652,0,0,14495,218759,11370,36212,2249,23729,0,0,-999,7181,17049,19032,28070,130324,2797,0,0,0,0,0,16999,95214,35166,13578,17464,19370,10239,55014,16800,4078,332,16887,30074,303588,256739,105672,2820,33845,28615,93765,37000,990,31913,20118,0,13833,20700,26986,642,7996,17316,15004,37695,292679,69161,50663,0,22996,27365,29144,202241,322889,152768,50982,9046,2544,78424,19234,26690,39478,75821,23573,107027,208427,109873,24277,211797,250064,126594,69599,28984,29609,1042,0,0,1234,1575,0,0,0,0,8991,17313,21145,22943,79162,19680,181620,43223,0,0,0,0,3878,30709,81654,112001,12576,29688,103534,21559,10531
24,-999,0,-999,6126,1869,113933,0,58912,11693,2210,5639,15348,71197,-999,157356,5325,0,4841,25726,75154,174297,94781,4878,49953,26565,197125,24667,-999,-999,93190,21916,84787,5418,97769,0,40713,13748,44509,0,0,28308,559425,46447,134750,30560,38869,693,781,0,3554,40168,25600,68196,221782,3359,0,361,0,0,0,46865,95982,89692,18355,21170,20349,7804,75486,60662,63647,9253,50784,133443,419417,347455,174890,3710,35954,42686,75271,59141,1938,111634,66351,31718,54267,36981,38730,0,0,1101,15273,88255,396284,90179,17983,0,37670,61241,58920,250092,415591,156840,13170,13259,3657,63698,16364,30937,67877,117888,17233,47713,138427,55286,1519,119672,296727,215878,85251,32116,54543,14631,151,3014,27716,20381,0,0,0,0,21404,25683,32017,20955,4527,56053,348580,89389,0,1929,6792,3414,2987,58230,231333,231528,24971,63577,156991,38921,12795
25,-999,0,-999,0,345,12140,0,70889,1622,286,0,501,8502,8309,20557,2580,0,0,2789,27908,132257,40039,376,89003,165179,380141,1328,-999,-999,786008,463079,430830,170602,452084,964,73997,2591,55673,0,0,4581,448534,19587,270893,162351,78985,580,0,0,2120,1667,5185,63821,126065,0,0,11746,0,0,0,347,15161,0,1229,5125,18802,1543,234468,415592,550627,13534,148382,192910,707505,531469,1056293,169287,133708,17182,105896,96810,1138,6124,6016,17677,41774,72187,91571,21492,0,957,14875,82936,363502,79666,159004,1788,4761,8492,13055,197138,397176,110725,41298,51013,142147,214122,95161,13457,18849,28377,17271,42821,152367,2326,40935,407859,539350,362313,415737,179883,448725,5380,0,0,0,0,0,0,0,0,2888,2462,489,0,0,10921,210662,49007,1746,23551,136233,20838,206,1372,40500,23571,66175,258824,477714,188518,241513
26,-999,91994,-999,14925,16512,288304,12327,110700,113683,3810,2566,8795,82161,198277,261568,39464,0,61260,144002,238204,939116,506094,14623,425148,454406,1525128,41259,-999,-999,1162918,315101,683704,-999,330539,599,24900,22567,71816,0,0,2240,868543,106135,243649,109620,37613,0,9920,0,29823,24935,13412,150338,771658,4748,0,11386,423,0,1261,256026,626564,19435,17580,46735,120791,76054,246409,355051,667895,19995,131935,319513,1585184,798416,953268,159246,448456,163625,153860,139658,29989,176174,34605,4136,128022,165731,72815,11373,30249,76336,38362,238178,1672159,99115,289422,7558,181358,132692,79613,723284,1228049,62792,19124,173646,565744,859542,137827,30249,324013,536723,175428,181899,972352,33063,72651,851283,2035137,792503,457738,160517,432596,7040,0,0,13657,11340,0,590,0,0,14517,14022,247830,161985,0,20315,611118,153359,1173,20319,175187,43076,719,78472,646435,304763,65408,342933,1064465,245752,149379
27,-999,1174121,-999,781370,1691952,3608183,95219,273485,663222,95867,204085,271453,522099,1081698,735332,390451,0,83058,769569,2285036,2994508,308447,4754,1215291,1413340,3389510,42374,-999,-999,2170684,597709,1307219,-999,1061610,4783,211026,22406,583120,1751,7863,1225,3070468,1060580,1201221,786227,372029,256869,1017,0,268442,232647,305216,1083926,2145294,5743,0,73514,8241,0,273,815896,1645610,33882,52397,217617,568794,308532,788865,1146787,1277843,28934,545547,1282048,2482862,1116509,1424969,496907,1272904,1115073,1263353,1583133,767843,1128016,957474,805651,976994,889483,961872,125214,332086,309757,431041,1197662,3779788,228633,1209870,22426,919035,555027,1223153,2727208,3107172,103548,224821,223130,871757,1579088,38488,30369,530005,741800,691902,788214,1895084,219349,606624,1989618,2679905,983023,1680119,1732428,732910,37514,17580,103834,293704,170238,0,164322,600631,129224,324800,719755,1523517,511239,230583,1662232,4384830,278785,9275,573741,2414408,426192,62240,578996,2521154,1478080,1263190,2422719,3206217,58770,240893
28,-999,366776,-999,350991,782403,2106856,148116,475475,502661,290948,437603,360310,597588,1912537,1023126,341787,1215,75599,466022,1410917,2304230,637561,11217,733260,971774,4272048,185509,-999,-999,3581620,777691,1553665,-999,829857,3498,158652,440442,740328,18347,2481,41546,3955331,696000,1316700,1229182,769867,220356,4435,2656,219223,96831,119457,746957,3101070,265067,3455,83156,3330,0,391,273541,2171928,625861,49301,54831,529653,728545,1401338,2174214,2657404,60380,660762,2096788,5236398,1748517,1720686,1246683,2536314,1722618,1507614,2490011,2733731,3224857,1793086,1285512,2299367,1305805,753939,188392,545354,548538,595880,1554443,5205492,222190,835648,5827,1004797,969927,1129168,3773968,4308711,251609,61068,270495,901264,2156667,318556,78127,969992,1358201,669401,610701,2133441,240451,277738,1779032,3426198,2058464,1914511,1335630,407489,1887,3017,29087,202510,200451,0,100443,80839,6543,130219,367113,720060,193022,512734,1486718,4975591,1278213,43300,646371,1736705,207319,10104,259695,3227192,2146276,1613782,3569491,5740174,568732,23806
29,-999,40640,-999,5393,31437,366449,3865,16764,30947,403,0,2080,40522,111978,40991,3271,0,5571,12387,106403,285092,196874,4337,48729,56403,410144,23397,-999,-999,72160,22880,55385,-999,142643,11368,20242,14120,217849,24016,0,6361,498001,93481,167027,119346,50551,17651,0,0,159692,32328,39443,159009,465190,65357,0,0,0,0,0,30388,288727,19153,7030,7884,67214,94990,48426,20110,42192,1735,5046,42346,406984,193588,198684,79975,272643,149346,114825,108506,48808,53239,58332,58389,303948,123059,73915,7324,11888,26621,14267,177773,642742,28439,163849,2134,98446,55446,69540,227158,353456,55895,12466,12462,32804,96201,56548,30342,160793,214193,138670,237069,335653,76931,50416,364088,870834,506693,236757,108143,102956,841,0,0,47556,16412,0,0,14577,0,33637,30213,90498,30951,5634,30626,355606,134779,0,390,6316,34897,180,34512,278516,154318,8810,15649,93385,30105,0
30,-999,499262,-999,184532,434000,1330568,24488,143245,170136,56994,11030,29233,72951,225076,225177,50502,4718,83120,518439,926133,1030012,1263488,45747,632606,1128815,3341214,306786,-999,-999,2001203,306904,1086326,-999,1987470,197762,568110,116018,1733504,202088,29842,117346,3502972,497294,445356,1399009,455326,344730,12554,173891,766881,90878,351542,1105369,2482688,441439,4537,462,57984,0,18845,942513,2514619,369193,65061,15998,528449,304237,232489,180424,271907,22006,47223,502184,2393422,1107906,1073844,903404,2405965,1910730,1084018,1190311,1471595,1128469,838760,378906,1673184,767291,767988,760643,775370,385446,425771,1792097,3599468,81763,760369,528667,1234250,506337,763403,2016111,2307966,163567,76128,161714,278809,419541,124864,41692,172556,190221,93254,281374,482462,41479,97535,1147513,2340843,1228312,781197,578523,1039032,17996,1830,28556,614129,384151,0,119353,338337,11102,211253,302075,1068492,228951,235837,1229699,3306010,820454,622,31388,143760,46153,11603,147670,1149370,465949,130227,298366,813629,214446,78146
31,-999,16756,-999,1164,325,41942,0,41958,0,2807,0,0,9610,7863,1974,0,0,0,0,5691,39721,32631,13792,544,2539,28288,0,0,-999,6614,0,25336,-999,23435,-999,2124,3302,78434,0,16368,11425,238042,66745,6850,38210,0,0,2062,0,24337,1210,2311,5807,13753,0,0,0,1492,0,2299,55648,105420,7678,1258,0,20614,4570,188,202,843,0,598,9711,86824,18577,30752,1610,8325,0,888,3114,22202,4041,1458,2957,0,2621,0,0,10624,23302,0,206,10048,319,0,0,4739,774,1046,13685,11300,5915,1640,241,3699,4318,4918,1574,3044,165,0,13862,24017,8093,0,1181,6078,1441,8087,2530,3453,0,7104,702,4887,1499,2270,0,19862,948,514,0,60320,2103,154,1898,31790,22296,0,0,0,0,0,2050,5270,2439,0,610,1482,521,1763
32,-999,885191,-999,1754277,3349905,10472979,245952,1508138,1780580,504809,1491949,711893,889481,1361431,2677317,151523,2768,123494,1886459,2361632,2277791,3045241,1180265,2803763,4641121,22588387,461049,1044250,-999,16015158,3384994,6948985,-999,6631318,2338940,1623700,1318482,10748495,3987298,295493,39552,14145438,7418654,229517,-999,1225105,2157187,208712,14253,1634214,973946,1086133,2948657,8227923,1879092,141890,197626,355327,83667,31157,2580715,7125305,1824088,252966,30026,790123,551677,561459,234754,668529,302864,388939,999953,5585372,4456763,4429311,702257,6829247,11118770,6677061,6963909,10603566,6270207,3354728,1049412,5651887,8644602,5749633,4186632,8198309,5042137,3611016,4956576,9704218,2844882,4996806,24318,928927,2414822,4774807,6086831,1836029,349163,3308770,4017317,9691591,10944039,2810957,863025,2366936,1240971,3988231,4226560,1757664,664833,1793331,3362173,4424371,4107292,8648699,1205738,2331732,255891,1283430,1113571,9868317,2535269,13396,3575088,4907690,1213315,6295404,1459273,5905852,780682,781714,3439209,12723298,2564004,4875,177399,2204812,662051,189277,373156,6556774,7857056,1566150,3250792,5333370,2239118,2059046
33,-999,2223,-999,348896,1246090,7415888,3215051,391868,224398,1520692,5009603,317598,284377,1684020,4188459,1489079,10665,402089,5966759,1714433,2622985,4459129,4233054,410512,11017,2374029,8845670,5596556,-999,5450895,9024788,1612286,3973,1211183,2243959,527672,66192,441294,1193936,502496,29138,5756678,11879824,4200350,20133,0,64303,56273,0,254689,931506,82318,7763,1400488,1427926,114866,5695,176130,208648,102275,28552,73344,1002138,524942,0,374786,2182525,1914406,438138,3673608,4665092,970914,892287,6665440,10887922,5156503,1997,571525,6724921,5490626,1291683,2966068,6896942,2698120,508058,6262521,13484782,3736613,4797,305693,2631128,2073476,326689,4549235,6700632,162897,0,2801,266785,1056439,1514048,3245291,2251482,495841,159091,2300314,9082989,395794,298,38615,558306,512439,42417,1056622,3504790,292428,0,1536551,7456377,4566589,167124,3565160,7942421,654577,154186,13068391,10370824,102192,24485,2068663,1962228,200349,0,280229,1653933,281261,83529,6780485,10755271,263513,187623,6327172,7441144,376447,14424,2732091,10939120,2245709,112792,3288964,7797023,1814108
34,-999,3661,-999,6829,21149,497666,323131,164801,5323,167447,979807,96805,6445,20649,1481498,732692,69710,1034838,2291858,425448,510976,1330103,1184715,101863,1216,522256,1629829,1556831,-999,1288480,2047322,584075,0,884967,942390,184813,22500,611313,994187,353331,27370,1858168,2600551,756941,38101,3297,33207,8471,0,34806,37026,47900,27964,810723,739362,27378,4466,269471,673470,86318,233645,407372,986293,136417,0,95445,461153,394239,214948,1275612,1480502,159525,255704,2436818,2971673,1120654,10278,480923,3921184,2379089,960326,1977751,2060147,315002,115451,1597601,2621386,805180,361,145239,450436,404672,454880,1606127,829109,11327,156,28069,193192,219923,219753,970109,807662,152173,70664,642071,1769835,39895,0,8730,88201,23810,1851,283386,538962,93703,0,1074095,2113701,902105,19139,902880,1296573,255423,143459,2927248,3659949,66629,135337,2459647,2149718,120698,11161,554083,1063075,200349,117362,2625816,2373741,96019,194207,4155625,4034149,152070,9745,1140481,3665757,918839,285102,2718610,3321881,427177
101,-999,3656,106060,-999,32504,-999,68216,28535,54753,24831,73373,205035,7106,79655,737204,-999,5876,8098,194796,-999,1193814,823893,146507,149118,660484,203735,428809,195497,1622,23125,187685,46975,372448,52678,19432,0,53341,13580,121591,24247,72802,189210,118659,50415,716784,26679,546829,196545,129799,14907,43161,198550,383848,67888,14448,0,7463,0,0,0,308202,1930609,385711,911368,2123875,864100,1113767,67524,319100,92454,19935,298033,699962,811456,1215298,926979,83125,251578,897326,688139,883331,24494,504079,310954,458248,138380,1566178,1231766,1114767,637572,47904,69497,293080,322121,255173,751342,572371,169916,41539,20944,1372035,674862,13125,7188,50171,1394,714362,969333,117612,133930,841157,902544,285667,507980,72995,6749,275746,168897,63777,212143,247507,8118,9313,0,1224,583,23000,649,0,0,0,1649,86911,42021,151846,19191,7049,46151,67291,346,583,1973,6154,95575,331220,130813,29864,9591,150425,342360,41872,62483
102,-999,328620,2940847,2186,756105,-999,410055,-999,1122433,151336,917668,4118434,198887,5290047,13484825,14063912,0,16309,4990641,2681640,16625401,8997166,2402689,2883238,7203850,6333725,10061156,2332569,84721,961257,2131069,34522,319816,786868,1297272,44337,655704,938156,868211,143992,261950,2784158,4883867,871274,3706754,-999,3293650,726333,94157,27533,-999,2472445,2553154,471572,214449,17437,0,697,2422,3167,6516242,-999,7211438,1543798,3635615,4943896,7450710,2692617,5134550,8470660,3750805,3710991,2611099,2024778,4343181,1450102,26911,1076104,17415841,6147082,2260611,268089,9007581,1504734,4246515,3327007,11592116,3616213,1213845,452367,235634,701367,1571436,4450442,5863558,3714630,780207,634710,743294,177516,6309092,6070840,213265,47227,166459,51702,6320084,4398739,158400,664085,9656466,4236546,11475,1124485,4356913,105434,1173748,2888863,1809696,1885189,340831,33705,245125,32729,54661,145005,1727870,71979,141,8864,1674419,1170635,1968640,838656,2988688,301362,996286,2436222,6771582,144563,82880,0,502825,420201,4252286,5144206,1631440,126755,5822291,16255286,3085186,1530493
103,-999,41573,1632415,429,1563561,-999,-999,328552,1501648,52265,-999,3140058,265085,4929737,10306849,17244728,-999,855,1467951,2030252,8373596,13621200,2451964,1728378,6437980,7882896,-999,1619373,77831,1873945,1564395,114235,45738,141199,385333,376,465979,505229,463196,31702,54399,1366504,11265778,626299,3298980,-999,2893868,701255,96931,78693,-999,2550941,2034744,1390094,57816,1164,0,0,7216,14946,9676423,-999,11831111,2451240,1737705,2205656,7854218,2547451,6615003,14925539,7529792,5465957,4490647,3626328,6194748,2251961,34700,1172109,19593172,6601376,2313322,1292027,11748919,1698622,3874583,4122301,15185255,6645610,1087368,849236,456784,434684,3362449,10409529,7521503,4659790,1795217,615170,354503,34602,6466093,8267053,842373,41125,457468,363831,12258411,7408048,185657,528674,16587693,10580500,0,-999,7803659,478179,1671454,2371586,1533322,3036844,578389,25969,26515,1435,6319,47603,287745,10232,0,1305,1300912,561968,5295870,2850031,3664431,196320,879658,3017818,5418748,35317,12532,0,347901,613756,7631288,7500787,2758211,25072,7508363,26615160,433533,1835560
104,-999,0,66846,0,1680,-999,0,488,7146,6027,-999,101817,2201,163742,69082,280865,0,24038,60286,151130,-999,74945,12890,125800,219122,34410,30073,36073,0,1680,48923,40374,45334,36547,159762,0,61046,18938,74623,0,0,723,82032,3574,136774,-999,179206,33061,98611,151262,-999,57129,21183,43988,1372,0,11207,0,0,2616,127048,467424,48831,70894,117018,111026,62561,5503,14602,62662,67668,102844,197598,284614,348354,436052,212431,350112,295306,233451,113586,3553,171622,26569,166050,186485,323560,276257,166798,250481,2450,8797,57204,149472,32951,231195,274514,181731,2603,729,170309,95760,12339,10174,45599,3926,452289,557106,43134,131373,91928,229367,28763,89548,13197,3387,21750,12055,7377,75499,63883,22014,4160,490,0,0,0,0,0,0,756,0,17571,8992,2292,192,1886,47457,86764,0,2855,0,11901,37408,83795,3863,8667,0,2471,19112,10878,23825
105,-999,0,-999,0,-999,-999,-999,88059,106103,-999,-999,768698,339949,417938,-999,939134,-999,22616,-999,-999,-999,-999,-999,1051617,1198756,-999,315465,76867,0,-999,100688,75639,209926,79588,67944,1277,141715,110260,-999,0,697,-999,190390,8360,88047,-999,166239,54445,684592,-999,-999,488738,897096,-999,-999,0,4322,2534,2870,1120,587275,-999,569237,1295140,1203030,-999,479667,492830,917090,-999,133833,386730,876138,-999,-999,779754,284906,-999,999703,952801,656301,649892,1875872,267302,341176,324598,641201,490777,664280,1078365,7720,119626,409532,-999,129913,769378,856458,1066997,-999,284499,943763,403449,208210,116537,283950,270094,883426,1298347,352002,548425,1068827,1283463,218133,-999,219603,159589,564348,603696,236608,372894,431890,6523,4484,0,192,2906,22500,1222,5719,4858,3059,3144,331230,262965,235003,27655,45023,560478,356646,626,2305,28949,136211,74142,336940,237732,133620,10579,137431,666835,155009,339679
106,-999,35326,590612,20347,1310960,-999,179861,17084,244140,13508,-999,891076,840817,2534146,-999,42046,-999,44633,-999,579422,876642,553856,125851,292098,21816,220021,-999,0,-999,7921,481867,31714,171303,82759,626752,3341,132529,22410,164143,97551,1033009,3207498,1534277,17927,140661,6393,162908,313347,75913,181733,67784,147726,204957,25290,5906,0,0,1738,3096,6111,40242,-999,688904,221374,5020,4520,155355,14856,6160,4301,89245,15176,11585,73689,61137,16562,3256,57611,814834,353503,78127,14132,513435,118289,179566,275582,687714,257360,253991,29949,6602,58379,34763,22945,237395,58786,667,57807,43731,45653,43316,31655,69837,10390,29358,57760,766160,650935,43536,43048,191682,40142,65599,431088,100963,14453,242228,743358,380525,235691,187341,209020,81946,943,30971,46847,119291,916,16275,236544,512378,43266,936676,907908,1406391,70381,29460,641861,431505,50127,3051,103762,541108,507362,504731,354087,179948,2927,49438,176567,409874,217768
107,-999,4758229,18627083,1032716,5573645,-999,2153075,2890,24215,843896,-999,3980388,1370190,5457103,1752366,-999,47935,1449882,5816090,11411,-999,8491619,3292826,164095,703061,3025162,1944247,97252,-999,3910525,2329918,127788,151688,1916515,3594805,120566,608704,829250,722668,491795,810315,16720353,27090273,969937,6241,311515,-999,2348121,491783,466215,-999,706732,2558294,3267662,1437936,69887,0,71290,697842,875320,3752215,5879563,5864761,880099,79774,1094937,1237391,11666,14070,276011,2090619,3720825,739771,5896545,-999,1966300,565198,4593138,26688277,4723777,4071300,19313185,29082043,1442820,4800712,18291284,42870565,13433949,6944416,19858788,8791350,4672873,5892192,9379917,5303360,51487,321169,3172203,-999,1989905,544278,1758051,2249585,18429,228866,753064,17296227,3010262,5786,240372,3622035,1847941,521523,2544967,-999,121577,3306273,21791012,5177530,21610,51106,2322608,6664297,7979,541786,3261673,8125402,89667,311283,1193649,13644860,245880,270855,1829667,15726017,1655684,543121,5184412,6165638,104121,1123,144454,9552200,7161809,47925,4721950,12597825,553374,581706,4060435,-999,27491
108,-999,3474590,17633757,9160,8329396,-999,454565,1093,179006,486794,-999,4284537,1249268,5379150,1804963,-999,30720,1395279,1064596,0,-999,1733899,39086,2217,289803,807144,1554955,48250,-999,6083717,1847103,102357,245656,146052,369636,6849,583178,322702,135016,14385,283778,14253688,18784718,516406,41411,214782,-999,1351304,367855,113532,211102,165882,767271,1818920,736478,631,0,3507,204157,17681,1845043,4232709,3279401,52767,47851,151815,265979,6579,18504,165105,805616,1144493,64235,4804547,9067557,874269,39306,2676884,18700546,1423628,3815335,12136656,20966879,585196,3222229,4541762,15600401,6118679,5218412,13349600,2620217,1561594,4965753,8873193,1591555,0,50557,798064,-999,308245,336337,1225854,1477023,5119,157285,851719,12595648,4632246,624,14432,3163089,2325480,-999,903273,-999,881,127472,11635214,3468542,2286,5769,264558,1024940,25473,143026,1300982,3267224,56510,223157,1410559,4985529,58618,334473,1251659,6094677,86445,438349,4937138,6394045,171541,24863,172434,2844657,1052576,30878,393584,1639107,326609,1490708,5657818,-999,0
109,-999,941796,-999,46286,323176,-999,174696,199617,464297,312841,545725,177751,417686,1290283,314677,112306,49502,531844,182964,222918,668577,150867,766,103594,233745,909183,19293,834,-999,333680,80171,54071,71973,540015,221175,23813,68997,182359,3930,13012,113402,1842182,309517,317444,33246,6497,41527,61960,305704,511361,7895,25559,132491,181055,19791,607,7151,17002,0,26619,96440,124189,23674,29558,39240,30945,7387,20595,36704,27309,10989,20476,130654,293367,12339,13343,26384,186671,123528,40137,163801,104324,14864,117284,101469,504451,158338,119555,156099,415076,8073,45292,163028,132159,23798,69658,22452,311805,79570,54499,142516,194857,18207,15505,24074,225040,226631,96920,56654,57800,51963,48776,107740,140205,24180,23188,138430,139236,17992,79512,89667,99192,4591,2835,16881,4521,2518,2197,15684,81182,8115,17850,64870,186342,75174,26156,343331,1271225,208620,9825,12161,34589,124839,92204,184564,168745,148647,66515,153921,386841,79942,81116
110,-999,4067804,-999,989082,2814209,-999,22856,842542,1115058,467655,295531,107754,1419233,1293372,206102,239705,50515,125658,29009,894593,1561890,321212,27661,480231,1484714,1919915,0,2510,-999,3034341,172824,390553,418220,919467,410767,92839,215916,678388,0,86862,288278,3029715,93404,1627445,229403,300699,25329,10172,866580,559491,8120,207089,411013,234407,0,0,19153,26711,0,2690,339194,251361,2825,467254,1050667,234258,35639,1163947,1407116,385454,11801,216446,1009315,802074,15132,107083,396208,2626371,184690,600199,2421989,2099169,231043,949942,1642704,2639307,517893,1450667,2653283,3456839,76781,158444,1346618,1786760,199326,2614766,1283196,2498457,41041,193836,3032374,881964,12814,70570,748421,2469054,612362,944417,227163,346650,133783,266625,524139,797132,80475,355717,1803708,550116,4812,595356,430599,459087,56204,10857,24124,27485,21319,3460,81956,612472,234517,372412,677944,803931,155912,81442,2098574,2654228,38317,9257,83990,145622,118960,303972,880056,198162,133344,544158,1333565,773310,15841,245361
111,-999,6662955,-999,1738612,3510687,8573727,1096495,1298982,1538693,936992,1975455,490437,1211330,1568429,1092144,169416,9587,220202,1410358,821350,1333175,656499,430667,648436,661845,3153128,680347,245505,-999,6081463,2420343,1751882,320211,2846337,353712,1008216,684357,2693063,493197,146883,793574,7489348,783629,1489716,143498,523236,389825,59678,311609,601662,100144,332143,635134,1139213,434088,17623,179907,705261,111975,208225,2794929,2336859,3924708,693788,102544,1231986,1105867,199084,133257,197422,258652,1592334,1691585,1822915,1674710,2039945,1760829,7133339,4750712,1413605,2039374,7829430,4621346,2178609,2837790,8641706,5425945,3607852,2646973,3302523,132991,1177884,5433968,8161759,1087816,1823160,1425170,2639977,533139,578862,2813060,2349659,449207,337238,1720126,3282216,2813134,555490,215242,389846,1017280,662403,659557,614408,236421,206977,1972484,3125353,1420528,1190153,709533,556286,344878,43733,149635,792474,597877,1228,2337078,5487698,755984,1434608,1416090,2603870,968705,261003,1780140,3684520,815808,58651,821398,1814568,771951,443242,1619115,1223714,991516,649824,1639711,1491913,154230,511323
112,-999,127534,-999,4920,12460,46947,20131,85491,42314,71767,80957,45795,102541,61635,462,3110,1410,18677,13019,7361,14498,8696,1929,13292,27551,41535,0,0,-999,20417,7815,0,-999,17990,2560,2740,17975,55861,0,1371,61294,476593,78943,34029,29746,42099,22890,345,49668,28889,16063,2115,23043,13768,0,0,2357,1634,0,0,1568,2014,18945,5490,5741,53319,8435,1873,4194,4121,2590,641,22651,0,24067,55768,3502,19993,22148,9290,12141,31963,78860,40032,308610,534009,316190,204231,119365,95004,39826,2688,9766,90637,103144,1134,4858,69562,86380,25202,64103,208957,97590,1761,101356,160264,330422,19863,12349,40208,172659,50932,6432,20029,36344,0,1248,16490,11066,6018,2659,26523,16291,5782,10590,22905,8794,496,814,0,21875,16784,27150,100254,175407,10601,13304,181608,118876,0,2258,631,43302,11097,23935,65911,27005,1256,1837,11186,24704,40006
113,-999,5745051,-999,3206963,5872945,8773171,218409,1056870,1142549,102605,74908,169412,960987,1752213,398614,364470,342656,981227,694831,620299,605648,80078,23438,1161409,1068179,2427605,9419,229776,-999,1985002,85473,320379,60748,977424,0,453667,308660,1364200,3978,248477,295918,4362748,1175886,531381,138426,261351,385446,180182,121769,186740,2942,808089,1987067,710169,26194,0,24165,4877,43154,266847,2461728,3174015,2300823,474556,38145,192363,182748,61850,121404,148478,128568,487340,2170087,1865660,663069,1364804,766687,3704711,899858,466620,1342892,1265145,580639,570509,659341,5013868,3104111,3232195,3191783,3871362,463033,109025,1049437,2444820,475693,1364943,180293,1304706,220993,301249,1526560,525636,60347,524417,1302863,2916991,2136674,163592,35674,165521,283043,124568,373515,688703,214240,845722,3845517,3864097,369139,588356,740712,177787,94945,17495,61644,652266,173132,7839,517472,1325849,119128,234862,5327,299539,144382,27858,198168,454702,67628,1512,24139,129577,352332,69665,290419,190558,134552,112579,163427,460650,109954,74165
114,-999,14708561,-999,9839883,16879653,41639862,646439,2570591,211142,63080,778964,2225231,1729958,2470562,7706219,1068042,6185,173696,9464163,7612292,7022624,3268701,2604602,2192191,2368812,22886388,9046305,2478819,-999,29310596,17159951,2093268,298009,7639599,1761614,3431977,521347,6350455,6232630,1301421,1419781,32786415,5522936,292420,0,423,735751,2664662,159198,2231916,3314783,1993864,1741686,5847048,5019762,34796,165319,2148721,3774878,2260928,4722629,7699735,18174600,1486565,5955,286613,1382775,791574,164756,482777,2989875,3808379,1034958,11801031,17280270,3066127,337939,6529705,53021953,19913520,1871824,6299669,30867981,9955348,2750482,13191409,31146236,8882481,119311,1581443,7401221,15195853,17223729,16129114,1754635,147682,34541,8230750,41434967,21229897,1578517,840417,2423231,448608,152023,998106,20569109,5841139,33214,1722047,12477372,5796442,478484,686003,2936070,296762,1505016,20651140,19462869,1760495,45517,154724,1268220,257158,250818,4440109,6856141,83346,2067630,7381999,7083179,966408,46384,4495096,12146852,2899674,206696,6641520,8638159,119600,19122,659883,2840372,1844544,1296962,7716702,11297216,602237,117488,3143127,6536518,427662
