"Beds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,26078,89816,60946,605,113797,210302,2376,110285,430764,259112,68017,133792,180626,146570,236314,150101,0,0,37243,232101,732952,80492,16888,2102636,1238164,682051,0,43830,236647,301824,290340,401821,317012,95966,136163,117472,170587,54105,0,144,1322,0,2648,202,18149,0,0,0,41142,2303,0,28318,21479,1098,0,123,0,0,0,0,756,4465,5131,84862,63408,9454,0,159116,290843,414379,31898,472932,632063,993469,278008,913764,531480,597083,59903,169216,171024,192376,3252,41762,92502,16848,0,0,0,0,0,371,890,8812,0,40798,534169,398304,0,502684,2146244,1729691,19465,139106,1056966,1328615,1089794,1791944,735387,1072233,720895,1321313,698747,882025,23585,268875,1365196,1200802,497820,1492445,812926,679029,14077,722,19796,18034,10601,0,0,864,0,16170,118566,212420,45093,17666,63631,487804,8773,957,1068,11445,6528,2783,35983,50774,13881,6672,15425,8066,1131,42630
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,395407,0,0,0,0,0,0,2556,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,105,469,5451,195,0,247,0,0,560,4846,0,0,18621,98597,106993,0,11873,49677,28036,7364,282,47269,269590,162875,115291,27034,348629,87907,115963,18897,244315,2150,4920,156967,327126,59534,111495,38406,142238,2705,0,0,0,2359,0,0,0,0,0,19552,17234,1640,78,7458,108875,3363,0,0,0,0,0,0,407,0,0,0,670,0,328
13,-999,904490,954388,258873,1988398,-999,0,2315,213869,40829,2789896,4682093,174265,1894849,559630,722944,-999,38079,1503427,4120878,-999,988419,176491,430425,20719,343070,31438,53554,111644,325063,80252,94450,11666,138832,309170,66137,20563,567842,23631,37043,218200,277753,47133,141722,610620,-999,276604,96972,299658,329173,9909,344453,166731,1587563,384,39406,4984,16104,77782,927056,1534059,1566360,592635,255003,47960,488872,312668,232029,136056,735009,52463,984528,1740024,2632205,10907,355593,369004,2124644,128279,56998,126660,582040,6485,45810,252718,1868137,307508,398940,18473,562864,258423,1008564,478023,1439039,231189,375505,83064,1086987,281007,1497000,882763,1395625,490396,620560,735848,1504710,862816,614222,492211,2308870,749168,516930,43576,427614,104145,38402,427689,590285,150135,259410,133471,418777,424660,39700,435366,976641,49654,14580,466621,1313594,193572,586046,421378,1277808,781895,404304,565454,2904758,134754,59896,71779,154904,713244,214955,1109201,3484352,915554,502707,372877,2166747,323437,628994
202,-999,0,-999,0,0,-999,0,7899,0,0,-999,0,521,2327,-999,35073,2100,26090,-999,15925,63290,243593,451375,5134,0,-999,264173,104697,-999,63190,406023,202644,-999,254337,321664,40869,0,49982,227681,74945,482,72921,-999,123061,0,5355,55280,34461,-999,1904,-999,5299,1002,61398,216298,33384,259,1134,21379,8286,672,0,18709,5058,0,0,3322,0,0,19088,68501,6238,6647,90354,-999,76310,757,64137,418147,114081,10412,105589,207911,3180,4185,100027,144418,46426,811,44558,23505,20833,0,7827,233152,28869,0,4540,406239,227531,138342,425625,415015,29286,723,43707,320589,0,0,783,55017,4904,0,5071,-999,1238,2538,203978,232308,50573,21426,122532,168612,181,18420,282660,516254,5244,0,0,100325,31585,0,8931,49554,6863,2693,32187,163494,11454,0,13763,26778,3759,724,15646,24540,2624,0,2579,-999,2432
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,-999,1460725,-999,162511,318245,3969800,1014413,188331,6108,1333950,3252340,385324,609708,-999,4380420,-999,221833,1994032,3288228,15288,1258220,3390495,3388124,21139,1386,4781148,3149487,-999,-999,1642572,2211813,763605,-999,1995307,548909,78819,60931,2079844,1228316,133143,46070,1844986,-999,18169,2033,829349,951256,77389,-999,-999,-999,-999,-999,-999,-999,-999,-999,182456,-999,26609,87382,891061,1835565,252417,15619,998320,1874150,82706,98149,2148078,1350716,34809,328744,3421104,-999,342979,21326,947102,2088988,342216,63470,1828649,1580330,21822,494,551882,637041,61291,39818,621828,572223,59333,4325,686858,2265644,258765,190205,2058742,3070711,857166,2670752,6476774,2825744,429323,529385,2763100,3101385,23594,212483,2756249,4663464,401976,806608,3301306,2592254,2345,121669,6395017,3661111,93993,30260,1421148,824025,0,92565,2195555,1502996,6115,9627,954923,433352,29071,7511,1007730,900907,70829,90776,1617582,1894462,7350,80771,1213738,1009755,76984,377633,2962178,682019,44223,49194,916510,1262640,75939
205,-999,6106,-999,13902,0,-999,657558,110763,149673,66138,462698,786744,6560,122037,1110261,-999,0,0,516767,106863,32636,201386,340712,5433,521,123132,1562839,-999,-999,375315,-999,-999,45646,514751,2132075,65292,0,87512,-999,95733,5653,41366,844948,39979,4096,1428,454519,277477,3115,136760,458667,122800,11780,407476,1006860,15339,0,0,406323,252650,6339,168760,3194871,2186621,13059,5653,2600795,890056,349,607483,3279832,198265,9371,713517,3062584,303789,262,17886,2440520,1157557,196948,1334552,4930471,358991,79084,182826,3143610,1155221,0,36681,1874188,446536,187,495509,3303379,1044221,714,484337,4398157,716612,215230,571679,2720003,370305,1300,36856,2578801,1205864,160000,42779,395984,114414,2995,0,1448023,464940,6478,1545855,2653491,182328,5105,195011,2237348,141177,4363,1100880,3947062,45568,5364,232873,2650242,653486,1376,7948,960373,164348,4371,740289,2960321,258458,2415,149495,1573441,618885,7859,319490,2639377,144179,526,46528,1156625,347440
206,-999,0,0,0,0,-999,858,0,0,0,17284,10616,0,18086,50433,0,0,0,0,345,12454,178999,151354,0,0,53553,188891,32239,-999,1535,-999,-999,858,0,138079,1372,0,4608,-999,1474,0,9535,101838,0,0,0,41865,1608,0,2020,1945,0,0,7868,4726,0,0,0,0,1458,403,148266,327389,75074,0,0,197205,2953,0,5541,14499,1727,144,79670,160650,0,0,3807,133363,17793,1260,19603,132979,22365,1042,3492,77644,8549,0,27160,65319,3092,0,17583,82279,31413,0,2124,73226,187,434,19068,-999,5382,0,500,65872,1794,0,0,0,0,0,0,0,0,0,32819,78650,137,0,18209,83151,0,0,21594,66154,0,0,0,65022,4763,0,0,0,0,0,1022,2574,0,0,0,0,0,0,0,620,1338,0,0,19172,3262
207,-999,820587,645259,40951,4806,7700119,4489802,433509,811,2522853,2886219,2710798,223433,7730645,6321410,-999,138859,1754564,4746594,878706,492860,4161110,4287279,280358,239312,9428599,11235261,2491424,-999,7604155,9738553,-999,-999,1643727,4650208,30520,114415,319086,2048965,415498,386635,2876109,4275889,146954,35804,186584,1966605,344678,115732,950879,1694384,1049480,91020,1412370,2759180,21897,0,98908,114585,70136,18358,2979856,4075906,593197,104004,291485,2889789,883331,45855,4936389,7219720,162905,843237,10794946,8351271,522112,64373,916225,3097094,1583289,727378,6018503,8615684,381982,11517,1376480,5971689,697617,25987,864560,2860923,398568,48633,3220838,7631878,1221440,100525,2450627,8446277,1331936,3229522,9546579,5748131,1796066,354711,4474889,12239063,2039761,171654,974676,1832085,180253,51921,-999,4695673,713480,652430,9704426,8855044,951987,198487,4045006,6989193,605399,187654,7671282,10401334,66142,64012,3568771,7298343,415004,19621,389214,1978882,711487,386296,8107350,4929486,36294,54845,264902,776051,716671,696749,5917269,3088477,139975,66033,1139976,5700058,941860
208,-999,519123,2034076,450085,43552,25550388,24175625,1917460,0,1860431,16071623,4019804,105155,9299525,23723447,-999,0,0,10264928,3142861,1342938,9754579,3129281,93804,3070,42025064,44259424,13061924,-999,39521477,-999,-999,-999,7767494,13643830,82969,0,2494,-999,1045649,459031,11306334,18519435,345884,0,0,1060788,834386,0,177316,1980873,-999,20811,1750394,9991090,308355,0,130231,1044676,103280,1871,1459329,9100372,1743305,0,0,3000488,2604420,126200,5583804,15963836,666660,0,6539219,22126126,5020405,0,0,882802,687254,291423,1272209,4311895,263579,0,147389,7406382,7405920,21760,358883,6689714,116119,0,497676,5709255,2271402,0,211564,10148115,2237580,227188,3285880,5153806,2275715,4548,4570,3182173,1857569,532171,33768,130525,38501,0,0,1238184,763707,0,5956630,17195722,3390499,4307,1235091,6731576,405683,761,3301488,13006623,235968,19473,3578596,19704726,4098532,20294,0,3746210,2471848,306408,9027915,19312939,616285,0,14758,3421238,2289420,1477312,1708466,4753012,418236,1777,751429,11710823,3697249
